Site,Date,Waterlevel
J17WL,2018-03-22,662.63
J17WL,2018-03-23,662.01
J17WL,2018-03-24,661.97
J17WL,2018-03-25,661.88
J17WL,2018-03-26,662.08
J17WL,2018-03-27,661.49
J17WL,2018-03-28,661.12
J17WL,2018-03-29,664.66
J17WL,2018-03-30,666.65
J17WL,2018-03-31,667.27
J17WL,2018-04-01,668.02
J17WL,2018-04-02,668.67
J17WL,2018-04-03,668.65
J17WL,2018-04-04,668.41
J17WL,2018-04-05,668.04
J17WL,2018-04-06,668
J17WL,2018-04-07,667.68
J17WL,2018-04-08,667.76
J17WL,2018-04-09,668.11
J17WL,2018-04-10,667.56
J17WL,2018-04-11,667.04
J17WL,2018-04-12,666.59
J17WL,2018-04-13,666.29
J17WL,2018-04-14,665.92
J17WL,2018-04-15,665.76
J17WL,2018-04-16,665.83
J17WL,2018-04-17,665.1
J17WL,2018-04-18,664.29
J17WL,2018-04-19,663.93
J17WL,2018-04-20,663.06
J17WL,2018-04-21,662.63
J17WL,2018-04-22,663.28
J17WL,2018-04-23,663.25
J17WL,2018-04-24,662.45
J17WL,2018-04-25,661.45
J17WL,2018-04-26,660.76
J17WL,2018-04-27,661.25
J17WL,2018-04-28,661.48
J17WL,2018-04-29,661.59
J17WL,2018-04-30,661.89
J17WL,2018-05-01,661.22
J17WL,2018-05-02,661.12
J17WL,2018-05-03,661.01
J17WL,2018-05-04,660.74
J17WL,2018-05-05,661.13
J17WL,2018-05-06,662.37
J17WL,2018-05-07,662.85
J17WL,2018-05-08,662.89
J17WL,2018-05-09,662.35
J17WL,2018-05-10,662.16
J17WL,2018-05-11,661.75
J17WL,2018-05-12,661.1
J17WL,2018-05-13,661.02
J17WL,2018-05-14,660.69
J17WL,2018-05-15,660.14
J17WL,2018-05-16,660.21
J17WL,2018-05-17,659.57
J17WL,2018-05-18,659.48
J17WL,2018-05-19,658.53
J17WL,2018-05-20,657.57
J17WL,2018-05-21,657.56
J17WL,2018-05-22,657.91
J17WL,2018-05-23,658.21
J17WL,2018-05-24,658.12
J17WL,2018-05-25,657.9
J17WL,2018-05-26,657.87
J17WL,2018-05-27,657.42
J17WL,2018-05-28,657.54
J17WL,2018-05-29,656.74
J17WL,2018-05-30,654.99
J17WL,2018-05-31,653.96
J17WL,2018-06-01,653.35
J17WL,2018-06-02,652.34
J17WL,2018-06-03,652.12
J17WL,2018-06-04,651.9
J17WL,2018-06-05,650.95
J17WL,2018-06-06,649.51
J17WL,2018-06-07,648.64
J17WL,2018-06-08,647.84
J17WL,2018-06-09,646.98
J17WL,2018-06-10,647.06
J17WL,2018-06-11,647.31
J17WL,2018-06-12,646.83
J17WL,2018-06-13,645.05
J17WL,2018-06-14,644.93
J17WL,2018-06-15,645.07
J17WL,2018-06-16,645.07
J17WL,2018-06-17,646.08
J17WL,2018-06-18,646.88
J17WL,2018-06-19,647.15
J17WL,2018-06-20,647.31
J17WL,2018-06-21,648.06
J17WL,2018-06-22,647.38
J17WL,2018-06-23,646.55
J17WL,2018-06-24,646.31
J17WL,2018-06-25,646.44
J17WL,2018-06-26,645.26
J17WL,2018-06-27,644.1
J17WL,2018-06-28,643.39
J17WL,2018-06-29,642.72
J17WL,2018-06-30,642.4
J17WL,2018-07-01,642.77
J17WL,2018-07-02,643.37
J17WL,2018-07-03,642.61
J17WL,2018-07-04,641.21
J17WL,2018-07-05,641.21
J17WL,2018-07-06,643.14
J17WL,2018-07-07,645.19
J17WL,2018-07-08,647.18
J17WL,2018-07-09,648.43
J17WL,2018-07-10,651.11
J17WL,2018-07-11,653.64
J17WL,2018-07-12,654.39
J17WL,2018-07-13,654.97
J17WL,2018-07-14,655.11
J17WL,2018-07-15,655.17
J17WL,2018-07-16,655.13
J17WL,2018-07-17,654.42
J17WL,2018-07-18,653.25
J17WL,2018-07-19,652.19
J17WL,2018-07-20,651.54
J17WL,2018-07-21,650.61
J17WL,2018-07-22,650.33
J17WL,2018-07-23,650.51
J17WL,2018-07-24,649.85
J17WL,2018-07-25,649.23
J17WL,2018-07-26,648.72
J17WL,2018-07-27,646.55
J17WL,2018-07-28,646.4
J17WL,2018-07-29,646.89
J17WL,2018-07-30,647.37
J17WL,2018-07-31,646.75
J17WL,2018-08-01,644.73
J17WL,2018-08-02,644.67
J17WL,2018-08-03,644.2
J17WL,2018-08-04,643.38
J17WL,2018-08-05,643.75
J17WL,2018-08-06,644.37
J17WL,2018-08-07,643.58
J17WL,2018-08-08,642.93
J17WL,2018-08-09,642.33
J17WL,2018-08-10,641.77
J17WL,2018-08-11,641.14
J17WL,2018-08-12,642.55
J17WL,2018-08-13,643.9
J17WL,2018-08-14,644.87
J17WL,2018-08-15,645.47
J17WL,2018-08-16,645.34
J17WL,2018-08-17,645.12
J17WL,2018-08-18,645.07
J17WL,2018-08-19,645.4
J17WL,2018-08-20,645.75
J17WL,2018-08-21,645.24
J17WL,2018-08-22,643.93
J17WL,2018-08-23,643.36
J17WL,2018-08-24,643.27
J17WL,2018-08-25,642.78
J17WL,2018-08-26,643.07
J17WL,2018-08-27,643.08
J17WL,2018-08-28,642.65
J17WL,2018-08-29,641.41
J17WL,2018-08-30,641.12
J17WL,2018-08-31,640.87
J17WL,2018-09-01,640.64
J17WL,2018-09-02,641.54
J17WL,2018-09-03,642.36
J17WL,2018-09-04,642.3
J17WL,2018-09-05,648.5
J17WL,2018-09-06,651.31
J17WL,2018-09-07,652.6
J17WL,2018-09-08,654.39
J17WL,2018-09-09,655.8
J17WL,2018-09-10,658.48
J17WL,2018-09-11,660.72
J17WL,2018-09-12,662.52
J17WL,2018-09-13,663.61
J17WL,2018-09-14,664.44
J17WL,2018-09-15,665.53
J17WL,2018-09-16,667.49
J17WL,2018-09-17,668.68
J17WL,2018-09-18,669.77
J17WL,2018-09-19,670.65
J17WL,2018-09-20,671.32
J17WL,2018-09-21,671.8
J17WL,2018-09-22,672.3
J17WL,2018-09-23,673.77
J17WL,2018-09-24,674.79
J17WL,2018-09-25,675.39
J17WL,2018-09-26,675.63
J17WL,2018-09-27,676.13
J17WL,2018-09-28,676.56
J17WL,2018-09-29,676.63
J17WL,2018-09-30,676.77
J17WL,2018-10-01,677.04
J17WL,2018-10-02,676.88
J17WL,2018-10-03,676.71
J17WL,2018-10-04,676.81
J17WL,2018-10-05,676.68
J17WL,2018-10-06,676.47
J17WL,2018-10-07,676.5
J17WL,2018-10-08,676.6
J17WL,2018-10-09,676.54
J17WL,2018-10-10,676.66
J17WL,2018-10-11,677.04
J17WL,2018-10-12,677.05
J17WL,2018-10-13,677.45
J17WL,2018-10-14,677.67
J17WL,2018-10-15,677.9
J17WL,2018-10-16,677.86
J17WL,2018-10-17,678.6
J17WL,2018-10-18,679.14
J17WL,2018-10-19,679.69
J17WL,2018-10-20,680.06
J17WL,2018-10-21,680.62
J17WL,2018-10-22,680.93
J17WL,2018-10-23,681.22
J17WL,2018-10-24,681.41
J17WL,2018-10-25,681.62
J17WL,2018-10-26,682.15
J17WL,2018-10-27,682.56
J17WL,2018-10-28,682.98
J17WL,2018-10-29,683.28
J17WL,2018-10-30,683.37
J17WL,2018-10-31,683.35
J17WL,2018-11-01,683.49
J17WL,2018-11-02,683.68
J17WL,2018-11-03,683.84
J17WL,2018-11-04,684.23
J17WL,2018-11-05,684.44
J17WL,2018-11-06,684.41
J17WL,2018-11-07,684.24
J17WL,2018-11-08,684.15
J17WL,2018-11-09,684.21
J17WL,2018-11-10,684.31
J17WL,2018-11-11,684.89
J17WL,2018-11-12,685.27
J17WL,2018-11-13,685.38
J17WL,2018-11-14,685.4
J17WL,2018-11-15,685.19
J17WL,2018-11-16,685.36
J17WL,2018-11-17,685.27
J17WL,2018-11-18,685.38
J17WL,2018-11-19,685.57
J17WL,2018-11-20,685.4
J17WL,2018-11-21,685.16
J17WL,2018-11-22,685.15
J17WL,2018-11-23,685.15
J17WL,2018-11-24,685.28
J17WL,2018-11-25,685.54
J17WL,2018-11-26,685.35
J17WL,2018-11-27,685.03
J17WL,2018-11-28,684.82
J17WL,2018-11-29,684.89
J17WL,2018-11-30,684.99
J17WL,2018-12-01,684.57
J17WL,2018-12-02,684.81
J17WL,2018-12-03,684.65
J17WL,2018-12-04,684.42
J17WL,2018-12-05,683.94
J17WL,2018-12-06,683.87
J17WL,2018-12-07,683.98
J17WL,2018-12-08,684.25
J17WL,2018-12-09,684.74
J17WL,2018-12-10,685.44
J17WL,2018-12-11,685.53
J17WL,2018-12-12,685.54
J17WL,2018-12-13,685.74
J17WL,2018-12-14,686
J17WL,2018-12-15,685.94
J17WL,2018-12-16,686.07
J17WL,2018-12-17,686
J17WL,2018-12-18,685.88
J17WL,2018-12-19,685.66
J17WL,2018-12-20,685.87
J17WL,2018-12-21,685.73
J17WL,2018-12-22,685.6
J17WL,2018-12-23,685.63
J17WL,2018-12-24,685.74
J17WL,2018-12-25,685.58
J17WL,2018-12-26,685.69
J17WL,2018-12-27,685.71
J17WL,2018-12-28,685.71
J17WL,2018-12-29,685.77
J17WL,2018-12-30,685.93
J17WL,2018-12-31,686.11
J17WL,2019-01-01,686.42
J17WL,2019-01-02,686.2
J17WL,2019-01-03,686.32
J17WL,2019-01-04,686.5
J17WL,2019-01-05,686.72
J17WL,2019-01-06,686.63
J17WL,2019-01-07,686.9
J17WL,2019-01-08,686.75
J17WL,2019-01-09,686.64
J17WL,2019-01-10,686.73
J17WL,2019-01-11,686.62
J17WL,2019-01-12,686.56
J17WL,2019-01-13,686.88
J17WL,2019-01-14,687.01
J17WL,2019-01-15,686.78
J17WL,2019-01-16,686.85
J17WL,2019-01-17,686.8
J17WL,2019-01-18,686.73
J17WL,2019-01-19,686.73
J17WL,2019-01-20,686.9
J17WL,2019-01-21,686.85
J17WL,2019-01-22,686.88
J17WL,2019-01-23,686.65
J17WL,2019-01-24,686.46
J17WL,2019-01-25,686.48
J17WL,2019-01-26,686.44
J17WL,2019-01-27,686.66
J17WL,2019-01-28,686.6
J17WL,2019-01-29,686.55
J17WL,2019-01-30,686.41
J17WL,2019-01-31,686.53
J17WL,2019-02-01,686.26
J17WL,2019-02-02,686.18
J17WL,2019-02-03,686.29
J17WL,2019-02-04,686.4
J17WL,2019-02-05,686.34
J17WL,2019-02-06,686.25
J17WL,2019-02-07,686.13
J17WL,2019-02-08,685.83
J17WL,2019-02-09,685.58
J17WL,2019-02-10,685.65
J17WL,2019-02-11,685.82
J17WL,2019-02-12,685.57
J17WL,2019-02-13,685.47
J17WL,2019-02-14,685.35
J17WL,2019-02-15,685.44
J17WL,2019-02-16,685.24
J17WL,2019-02-17,685.24
J17WL,2019-02-18,685.28
J17WL,2019-02-19,685
J17WL,2019-02-20,684.73
J17WL,2019-02-21,684.84
J17WL,2019-02-22,684.78
J17WL,2019-02-23,684.52
J17WL,2019-02-24,684.58
J17WL,2019-02-25,684.45
J17WL,2019-02-26,684.18
J17WL,2019-02-27,684.07
J17WL,2019-02-28,683.88
J17WL,2019-03-01,683.71
J17WL,2019-03-02,683.64
J17WL,2019-03-03,683.65
J17WL,2019-03-04,684.19
J17WL,2019-03-05,684
J17WL,2019-03-06,684.14
J17WL,2019-03-07,684.12
J17WL,2019-03-08,684.53
J17WL,2019-03-09,684.77
J17WL,2019-03-10,685.02
J17WL,2019-03-11,684.96
J17WL,2019-03-12,684.83
J17WL,2019-03-13,684.85
J17WL,2019-03-14,684.92
J17WL,2019-03-15,684.84
J17WL,2019-03-16,684.28
J17WL,2019-03-17,684.36
J17WL,2019-03-18,684.51
J17WL,2019-03-19,684.25
J17WL,2019-03-20,683.8
J17WL,2019-03-21,683.68
J17WL,2019-03-22,683.3
J17WL,2019-03-23,683.37
J17WL,2019-03-24,682.98
J17WL,2019-03-25,682.87
J17WL,2019-03-26,682.46
J17WL,2019-03-27,681.85
J17WL,2019-03-28,681.11
J17WL,2019-03-29,680.59
J17WL,2019-03-30,680.25
J17WL,2019-03-31,679.98
J17WL,2019-04-01,679.91
J17WL,2019-04-02,679.49
J17WL,2019-04-03,679.04
J17WL,2019-04-04,678.64
J17WL,2019-04-05,678.53
J17WL,2019-04-06,678.56
J17WL,2019-04-07,678.74
J17WL,2019-04-08,679.16
J17WL,2019-04-09,679.59
J17WL,2019-04-10,679.83
J17WL,2019-04-11,680.05
J17WL,2019-04-12,679.98
J17WL,2019-04-13,679.85
J17WL,2019-04-14,680.15
J17WL,2019-04-15,680.49
J17WL,2019-04-16,680.26
J17WL,2019-04-17,680.05
J17WL,2019-04-18,680.04
J17WL,2019-04-19,680.33
J17WL,2019-04-20,680.66
J17WL,2019-04-21,680.85
J17WL,2019-04-22,680.99
J17WL,2019-04-23,681.1
J17WL,2019-04-24,680.71
J17WL,2019-04-25,680.83
J17WL,2019-04-26,680.95
J17WL,2019-04-27,680.98
J17WL,2019-04-28,681.18
J17WL,2019-04-29,681.12
J17WL,2019-04-30,681
J17WL,2019-05-01,680.78
J17WL,2019-05-02,680.7
J17WL,2019-05-03,680.76
J17WL,2019-05-04,681.09
J17WL,2019-05-05,682.02
J17WL,2019-05-06,682.39
J17WL,2019-05-07,682.78
J17WL,2019-05-08,683.02
J17WL,2019-05-09,683.39
J17WL,2019-05-10,683.55
J17WL,2019-05-11,683.81
J17WL,2019-05-12,684.21
J17WL,2019-05-13,684.61
J17WL,2019-05-14,684.41
